rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
13,1,2,3,7,#,#,10,4,3,1,2
26,2,4,5,9,6,26,6,9,5,2,4
4,3,1,#,10,2,3,5,#,4,3,1
#,#,#,#,7,4,1,2,#,#,#,#
4,3,1,3,2,1,3,1,2,4,3,1
15,5,2,4,1,3,15,3,1,4,5,2
#,#,4,1,3,#,#,4,3,1,#,#
15,5,1,2,4,3,15,3,4,2,5,1
4,1,3,6,5,1,6,1,5,4,1,3
#,#,#,#,10,2,3,5,#,#,#,#
4,1,3,#,7,4,1,2,#,4,1,3
19,2,1,3,8,5,17,4,7,3,2,1
20,4,2,5,9,#,#,20,9,5,4,2
Vertical
#,6,7,8,16,#,#,#,13,8,6,7
#,1,2,3,7,16,#,17,4,3,1,2
#,2,4,5,9,6,4,6,9,5,2,4
#,3,1,#,#,2,3,5,#,#,3,1
#,8,3,#,15,4,1,2,15,#,8,3
#,3,1,7,2,1,#,1,2,7,3,1
#,5,2,4,1,3,#,3,1,4,5,2
#,6,4,1,3,15,#,15,3,1,6,4
#,5,1,2,4,3,#,3,4,2,5,1
#,1,3,#,5,1,4,1,5,#,1,3
#,7,6,#,#,2,3,5,#,#,7,6
#,1,3,8,17,4,1,2,16,8,1,3
#,2,1,3,8,5,#,4,7,3,2,1
#,4,2,5,9,#,#,#,9,5,4,2
