rows=14
columns=12
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#
#,22,9,7,1,2,3,7,4,1,2,#
29,5,8,9,2,4,1,10,1,3,4,2
16,9,7,4,3,1,7,5,2,5,1,4
#,#,17,8,9,#,4,1,3,4,3,1
15,2,1,7,5,3,1,2,11,6,5,#
8,1,2,5,17,9,8,7,3,4,#,#
#,26,4,9,6,7,12,3,1,2,6,#
#,#,12,3,9,3,2,1,17,5,9,3
#,11,5,6,3,2,1,16,5,1,8,2
5,4,1,7,2,5,#,4,1,3,#,#
4,1,3,4,3,1,14,6,8,16,7,9
10,2,4,3,1,31,2,8,9,1,6,5
#,7,2,1,4,28,1,9,7,3,8,#
Vertical
#,#,24,16,20,7,4,#,10,4,15,#
#,14,9,7,1,2,3,#,4,1,2,7
#,5,8,9,2,4,1,8,1,3,4,2
#,9,7,38,3,1,#,5,2,#,1,4
#,3,7,8,9,#,9,1,3,21,3,1
#,2,1,7,5,16,1,2,4,6,5,#
#,1,2,5,15,9,8,4,3,4,23,#
#,#,4,9,6,7,3,3,1,2,6,5
#,#,15,3,9,8,2,1,30,5,9,3
#,7,5,6,10,2,1,#,5,1,8,2
#,4,1,#,2,5,#,23,1,3,21,14
#,1,3,4,3,1,3,6,8,4,7,9
#,2,4,3,1,#,2,8,9,1,6,5
#,#,2,1,4,#,1,9,7,3,8,#
